id,age_group,topic,difficulty,story,question,option_a,option_b,option_c,option_d,correct_option,explanation,character_emotion,background_file,audio_file,is_active
1,teens,phishing,medium,Your friend Jake DMs you on Instagram saying he accidentally reported your account. He sends a link that looks like Instagram and says to click it before your account is deleted.,What should you do?,Click the link – you do not want to lose your account.,Message Jake on a different app to confirm he sent it.,Ask for the link to be sent again.,Delete the DM and temporarily deactivate your account.,B,Hacked accounts are used to send phishing links to friends. The message may look genuine but Jake's account could be compromised. Always verify urgent requests through a separate channel such as a text or phone call before clicking any link.,thinking,teens_game_background.png,teens_question_01.mp3,true
2,teens,privacy,easy,"You post a photo of your new school ID badge on your public story. It shows your full name, photo, and school logo.",What is the main risk?,None – it is just school info.,"Strangers can learn your name, school, and possibly your location.",Your school might be angry about it.,It violates the platform's terms of service.,B,"Posting your school ID publicly gives strangers your full name, what you look like, and where you go to school. This information combined with your profile can reveal where you will be every day. Never post ID cards, tickets, or documents publicly.",thinking,teens_game_background.png,teens_question_02.mp3,true
3,teens,phishing,medium,A TikTok video claims you can get free Spotify Premium for one year. You just need to enter your email and Spotify password on a website that looks real.,What should you do?,Use a password you do not care about.,Report the video – it is a phishing scam.,Try it – you can always change your password after.,Use a temporary email address to sign up safely.,B,"Free offers that require your login credentials are phishing scams. Even if the site looks exactly like Spotify, you are handing your username and password to criminals. They can then access your account and any other accounts where you use the same password.",thinking,teens_game_background.png,teens_question_03.mp3,true
4,teens,cyberbullying,medium,You are tagged in an embarrassing photo. Someone messages you privately threatening to share it widely unless you pay them money.,What should you do?,Pay once and then block them.,"Screenshot everything, block the user, and tell a trusted adult.",Ignore it – they probably will not share it.,Delete your social media account to stop them.,B,"This is digital blackmail, also called sextortion or cyber extortion. Never pay – it almost always leads to more demands. Document all messages as evidence, block the person, and immediately report it to a parent, teacher, or the platform.",thinking,teens_game_background.png,teens_question_04.mp3,true
5,teens,phishing,medium,You receive an email that looks exactly like it came from Apple. It says your iCloud is 99% full and asks for your Apple ID and password to prevent data loss.,What is the safest action?,Click the link and log in – it looks real.,"Open your iCloud settings directly through the app, not the email.",Reply to the email asking if it is a scam.,Forward the email to Apple customer support.,B,"Phishing emails are designed to look exactly like official emails from trusted companies. Always go directly to the official app or website by typing the address yourself, never by clicking a link in an email. This is one of the most common ways accounts get hacked.",thinking,teens_game_background.png,teens_question_05.mp3,true
6,teens,social_engineering,medium,A friend messages you on Discord saying they accidentally sent a two-factor authentication code to your phone number and needs you to read it to them.,What should you do?,Give the code – it is your friend asking.,Call your friend to confirm it is really them before doing anything.,Ignore the message completely.,Send only the first digit to check if they can figure out the rest.,B,"Two-factor authentication codes should never be shared with anyone, including friends. Scammers often hack an account and then pretend to be the owner to get the 2FA code from a contact. Always verify by calling the friend directly before taking any action.",thinking,teens_game_background.png,teens_question_06.mp3,true
7,teens,privacy,easy,A new classmate you have only known for two days asks to share live locations on Snapchat so you can hang out after school.,What is the best choice?,Share it – they seem nice.,Wait until you know them much better in real life.,Share it but only for one hour.,Share your location but set it to a nearby wrong location first.,B,Sharing your live location means someone can always see exactly where you are. This is a serious privacy risk with someone you barely know. Build trust in person over time before sharing real-time location data with anyone.,thinking,teens_game_background.png,teens_question_07.mp3,true
8,teens,passwords,medium,You read that a game you play had a data breach. Your email and hashed password may have been leaked.,What should you do immediately?,Nothing – the password was hashed so it is safe.,Change your password on that game and on any other site where you used the same password.,Delete the game account completely.,Create a new email account and transfer your game progress.,B,"Hashed passwords can still be cracked, especially simple ones. More importantly, if you used the same password on multiple sites, attackers will try it everywhere. This is called credential stuffing. Always use a unique password for each account.",thinking,teens_game_background.png,teens_question_08.mp3,true
9,teens,social_engineering,easy,"A message says that if you do not forward it to ten friends tonight, your account will be hacked.",What should you do?,Forward it – just to be safe.,Delete it – this is a hoax designed to spread fear and spam.,Send it to only five friends as a compromise.,Forward it with a warning note attached.,B,Chain messages that threaten you with hacking unless you forward them are fake. They are designed to spread spam and create fear. Hackers do not actually track whether you forwarded a message. Delete it and do not send it to others.,thinking,teens_game_background.png,teens_question_09.mp3,true
10,teens,social_engineering,medium,"An unknown account offers you a social media assistant job paying £300 a week just to post links. They ask for your full name, address, and bank details via DM for payment.",What should you do?,Give fake details to stay safe.,Report and block – legitimate jobs do not ask for bank details via DM.,Ask for a video interview before giving any information.,Ask for payment via PayPal first before sharing bank details.,B,"This is a job scam. It is used to steal your identity, your money, or to involve you in illegal money laundering. Legitimate employers never request your bank account or home address through a social media DM. Report and block immediately.",thinking,teens_game_background.png,teens_question_10.mp3,true
