id,age_group,topic,difficulty,story,question,option_a,option_b,option_c,option_d,correct_option,explanation,character_emotion,background_file,audio_file,is_active
1,children,phishing,easy,Tommy is watching a funny cat video on a kids' website. A pop-up appears saying he won a free toy and asks for his home address.,What should Tommy do?,Click it – free toys are awesome!,Show his mum or dad immediately.,Type his address and then tell his parents.,Close the pop-up and try a different website.,B,Pop-ups that offer free prizes are almost always tricks. They try to collect personal information like your address. Always ask a grown-up before clicking on anything like this.,thinking,children_game_background.png,children_question_01.mp3,true
2,children,privacy,easy,Lily is playing an online building game. A player named 'CoolCat' sends her a message asking for her real name and school.,What should Lily do?,Tell her real name but not the school.,Ignore the message and tell a parent.,Ask CoolCat for his name first.,Tell CoolCat her school but not her name.,B,"Online strangers should never be given personal information like your name or school. Even if someone seems friendly in a game, they could be anyone in real life. Always tell a parent.",thinking,children_game_background.png,children_question_02.mp3,true
3,children,passwords,easy,Zac's older brother sees that Zac's tablet password is '1234'. His brother laughs and says he will log in as Zac.,What should Zac do?,Nothing – it is just his brother.,Change his password to something harder like 'B3@rCub'.,Write the password on a sticker on the tablet.,Ask his teacher to choose a password for him.,B,"A password like '1234' is too simple. Anyone can guess it. A strong password uses a mix of letters, numbers, and symbols. Keep it private and never write it somewhere others can see.",thinking,children_game_background.png,children_question_03.mp3,true
4,children,social_engineering,medium,Maya gets a message from someone claiming to be her friend. They say they are hurt and need her mum's phone number to call for help.,What should Maya do?,Send the number – her friend needs help.,Call her friend on video to check first.,Ask her mum to help before replying.,Call the friend's school to check if they are okay.,C,"When someone online asks for a phone number or personal information, always involve a grown-up first. Even if the message seems urgent, let your mum or dad decide what to do.",thinking,children_game_background.png,children_question_04.mp3,true
5,children,passwords,easy,"In a game, a player offers Max a super-rare pet if he shares his game password 'just for a second'.",What should Max do?,Say no – never share passwords.,Share it because the pet is very rare.,Share it but change the password back straight after.,Share the password but watch what the player does.,A,"Never share your password with anyone, even for something you really want. The player could steal your account, delete your progress, or use it to do bad things. Real prizes are never given in exchange for passwords.",thinking,children_game_background.png,children_question_05.mp3,true
6,children,cyberbullying,easy,Ella posts a drawing online. Someone writes a nasty comment saying the drawing is ugly and she should stop.,What should Ella do?,Delete the comment herself.,Reply angrily.,Show a parent and let them handle it.,Leave the website so no one can post again.,C,Unkind comments online are a form of cyberbullying. It is not your fault. Do not reply angrily as this can make things worse. Show a trusted adult like a parent or teacher so they can help you report it.,thinking,children_game_background.png,children_question_06.mp3,true
7,children,phishing,medium,Kai tries to log into his learning app but a different screen appears asking for his username and password again. It looks a bit strange.,What should Kai do?,Type his info – maybe the app updated.,Close the page and tell his teacher.,Ask a friend if they saw the same screen.,Ask his teacher to type the password for him.,B,"A fake login page is designed to steal your username and password. If something looks different or strange when you try to log in, do not type anything. Close the page and tell a teacher or parent straight away.",thinking,children_game_background.png,children_question_07.mp3,true
8,children,privacy,easy,"While playing a voice-chat game, a stranger says they know where the child lives and asks to meet at the park.",What should the child do?,Leave the game and tell a parent right away.,Ask the stranger where they live.,Say maybe later and keep playing.,Tell the stranger their address to prove you live nearby.,A,"If anyone online says they know where you live or asks to meet in person, stop the chat immediately. Leave the game or app and tell a parent or another trusted adult right away. This is very serious.",thinking,children_game_background.png,children_question_08.mp3,true
9,children,privacy,easy,Zara shares a tablet with her little brother. He sometimes clicks on adverts by accident.,What is the best rule to keep the tablet safe?,Do not let him use the tablet.,Ask a parent to install kid-safe browsing.,Watch him every single second.,Hide the tablet when her brother wants to use it.,B,Parental controls and kid-safe browsing settings block dangerous websites and adverts automatically. This is much better than watching someone all the time or stopping them from using the device entirely.,thinking,children_game_background.png,children_question_09.mp3,true
10,children,malware,medium,Oliver sees a new app called 'Free Robux Generator'. His friend says it worked. The app asks to install something extra.,What should Oliver do?,Install it – his friend tried it.,Ask a parent before installing any new app.,Install it just once to check.,Install it but delete it straight away after trying.,B,Apps that claim to give you free in-game currency are almost always scams or contain malware. Malware is a harmful program that can steal information or damage your device. Always ask a parent before installing anything new.,thinking,children_game_background.png,children_question_10.mp3,true
11,children,privacy,easy,A child in an online art club asks Sam to send a photo of his bedroom to see what his desk looks like.,What should Sam do?,Send a photo of just the desk.,Say no – do not share photos of your home with online friends.,Ask his mum first.,Send a photo but cover anything personal first.,B,"Photos taken inside your home can show where you live, what valuables you own, and other private details. Never share photos of your home with people you only know online, even if they seem friendly.",thinking,children_game_background.png,children_question_11.mp3,true
12,children,phishing,medium,An email appears to come from Grandma saying the child has won a tablet. The email address looks strange.,What should the child do?,Click it – Grandma would want them to have a tablet.,Tell Grandma about the email before clicking anything.,Forward it to friends so they can also enter.,Tell their parents and ask them to click it.,B,"Scammers pretend to be people you trust, including family members. Before clicking any link in an email, check with the real person by talking to them directly or calling them. A strange email address is a strong warning sign.",thinking,children_game_background.png,children_question_12.mp3,true
13,children,privacy,easy,Ben is signing up for a safe kids' game and needs to choose a username.,Which username is the safest choice?,BenSoccer7,BenSmithLondon,BennyBoy2024,Ben_London_2015,A,"A safe username should never include your real last name, your city, or your full birth year. 'BenSoccer7' only uses a first name and a hobby number, so it does not give away where you live or who you really are.",thinking,children_game_background.png,children_question_13.mp3,true
14,children,phishing,medium,A message appears in a game chat warning that the child's account will be deleted in 1 hour if they do not click a link.,What should the child do?,Click quickly to save the account.,Ignore it – real warnings do not come through game chat.,Ask the game maker for help.,Tell a parent and ask them to click the link.,B,"Scammers use fear and urgency to make you click dangerous links. Real games never send account deletion warnings through in-game chat. If you are worried about your account, visit the official game website directly.",thinking,children_game_background.png,children_question_14.mp3,true
15,children,social_engineering,medium,"Someone online tells a child a secret and says not to tell their parents, but asks for the name of their pet as part of a surprise.",What should the child do?,Keep the secret – it is a surprise.,Tell a parent immediately.,Give a made-up pet name instead.,Ask why they need the pet name before deciding.,B,"If anyone online asks you to keep a secret from your parents, especially while asking for personal details, this is a warning sign. Pet names are often used as answers to security questions and can help someone break into accounts. Always tell a trusted adult.",thinking,children_game_background.png,children_question_15.mp3,true
