id,age_group,topic,difficulty,story,question,option_a,option_b,option_c,option_d,correct_option,explanation,character_emotion,background_file,audio_file,is_active
1,adults,phishing,hard,You receive an email from your 'CEO'. The display name looks right but the email address is ceo@company-secure.net instead of the usual company domain. It asks you to buy gift cards and email the codes.,What should you do?,Ask the CEO in person or call them on their known number to verify.,Buy the gift cards – the CEO is asking.,Reply to the email asking for more verification.,Forward the email to your IT department and wait for a response.,A,"This is Business Email Compromise (BEC), one of the most costly cyber frauds. The display name can easily be spoofed. Legitimate executives never request gift card purchases via email. Always verify financial or unusual requests through a second, trusted communication channel.",thinking,adults_game_background.png,adults_question_01.mp3,true
2,adults,malware,medium,You find a USB stick in the company car park labelled 'Q4 Salary Reports – Confidential'.,What should you do?,Plug it into your work computer to see what is inside.,Hand it to IT security immediately – never plug in unknown USB devices.,Take it home and check it on a personal computer.,Check the contents on a sandboxed virtual machine at work.,B,"USB drop attacks are a well-documented social engineering technique. Attackers deliberately leave infected USB drives in places employees will find them, knowing curiosity will cause someone to plug it in. This instantly delivers malware to the corporate network. Always hand unknown devices to IT security.",thinking,adults_game_background.png,adults_question_02.mp3,true
3,adults,phishing,hard,Late at night your phone buzzes with five Microsoft Authenticator approval requests in a row. You did not try to log in.,What should you do?,Click Deny on all requests and change your password immediately.,Click Approve once to see if the requests stop.,Ignore them – they will stop eventually.,Keep your phone on silent at night to avoid being disturbed.,A,This is an MFA fatigue attack. The attacker already has your password and is bombarding you with approval requests hoping you will accidentally or impatiently approve one. Deny all requests and immediately change your password. Report the incident to your IT team.,thinking,adults_game_background.png,adults_question_03.mp3,true
4,adults,social_engineering,hard,"You receive a call from what sounds exactly like your daughter. She says she crashed the car and needs £3,000 urgently. The caller says not to call the police and will send a bank account number.",What should you do?,Send the money – her voice is unmistakable.,Hang up and call your daughter on her known phone number immediately.,Ask the caller to video call to confirm their identity.,Ask the caller to call back on your daughter's known number.,B,AI voice cloning can now replicate a person's voice from just a few seconds of audio found online. Attackers use this to impersonate family members in distress. Always verify by calling the person directly on a number you already know. Never transfer money based on an unexpected call alone.,thinking,adults_game_background.png,adults_question_04.mp3,true
5,adults,phishing,medium,"You receive a text from 'Lloyds Fraud Team' about an unusual transaction of £1,200. It asks you to reply YES to block it or NO to allow it. It comes from a short code you do not recognise.",What should you do?,Reply NO immediately to stop the transaction.,Do not reply. Call the number on the back of your bank card instead.,Click any link in the text to get more details.,Reply YES to block the transaction while you investigate.,B,Smishing (SMS phishing) is increasingly common. Replying to the message or clicking links confirms your number is active and can lead to further attacks or financial fraud. Your bank's genuine number is on the back of your card. Always use that to verify any suspicious financial alert.,thinking,adults_game_background.png,adults_question_05.mp3,true
6,adults,privacy,medium,You are at an airport and the Wi-Fi network 'Free_Airport_WiFi' has no password. You need to check your work email urgently.,What is the safest action?,Connect and check email – it is quick and convenient.,Use a reputable VPN before accessing any sensitive account.,Wait until you have cellular data available.,Connect but only open your email briefly and disconnect.,B,"Open public Wi-Fi can be a rogue hotspot set up by an attacker to intercept traffic, or a legitimate network vulnerable to man-in-the-middle attacks. A VPN encrypts your data so even if the network is compromised, your communications cannot be read. Always use a VPN on public networks.",thinking,adults_game_background.png,adults_question_06.mp3,true
7,adults,phishing,hard,HR sends an email asking staff to log into hr-portal.company-name.net to confirm bank details for a payroll system update. The link contains a slight misspelling of the company name.,What should you do?,Log in – it looks official enough.,Contact your actual HR department directly via a new email or phone call to verify.,Click the link and check whether the site has HTTPS before proceeding.,Change your HR portal password immediately before doing anything else.,B,Spear phishing targeting payroll or bank detail changes is one of the most financially damaging attacks on organisations. A misspelled domain is a classic indicator. HTTPS only confirms the site has an SSL certificate – not that it is legitimate. Always verify HR or finance requests through an independent channel.,thinking,adults_game_background.png,adults_question_07.mp3,true
8,adults,privacy,medium,You set up a cheap Wi-Fi camera to monitor your front door. The app requests full network access and location always on. You never changed the default password 'admin'.,What is the biggest security risk?,The camera hardware might break quickly.,"Hackers could access the camera feed if default credentials are unchanged, potentially viewing inside your home.",It will consume too much internet data.,Adding a VPN to your home network will resolve all security concerns.,B,IoT (Internet of Things) devices like cheap cameras are frequently targeted because manufacturers ship them with default credentials that most users never change. A compromised camera gives attackers a live video feed and a foothold on your home network. Always change default passwords and review app permissions.,thinking,adults_game_background.png,adults_question_08.mp3,true
9,adults,social_engineering,medium,"A recorded automated voice says it is HMRC and that you owe £2,300 in back taxes. It tells you to press 1 to speak to an officer or a warrant will be issued for your arrest.",What should you do?,Press 1 immediately to resolve the issue.,Hang up. HMRC never threatens arrest via robocall. Report it to Action Fraud.,Ask the automated system for a reference number.,Report the call to your local police station in person.,B,HMRC will never contact you by phone threatening immediate arrest or demanding payment by gift card or bank transfer. This is a well-known government impersonation scam. Hang up immediately and report it to Action Fraud (0300 123 2040) or at actionfraud.police.uk.,thinking,adults_game_background.png,adults_question_09.mp3,true
10,adults,passwords,medium,"You use the same password for your work laptop, personal Gmail, and a shopping site that was recently reported as breached.",What is the consequence of this password reuse?,Low risk – they are completely different platforms.,Attackers can use the leaked shopping password to attempt access to your work email.,Only a problem if you also use the same username across sites.,"Only a problem for your personal accounts, not your work systems.",B,Credential stuffing is an automated attack where stolen username and password combinations from one breach are tried against hundreds of other services. Reusing work passwords with personal accounts creates a direct path for attackers into corporate systems. Use a password manager and unique passwords for every account.,thinking,adults_game_background.png,adults_question_10.mp3,true
